country,region,year,latitude,longitude,type_of_violence,best
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Moldova,Europe,1992,46.865007,29.476387,1,1
Moldova,Europe,1992,47.0,29.5,1,2
Russia (Soviet Union),Europe,2010,43.1373,45.123,3,4
Russia (Soviet Union),Europe,2009,42.1246,47.0761,1,3
Russia (Soviet Union),Europe,2009,42.273292,47.137781,1,3
Russia (Soviet Union),Europe,2009,42.059,48.2908,1,1
Russia (Soviet Union),Europe,2009,43.318,45.6982,1,1
Russia (Soviet Union),Europe,2010,43.4015,45.4384,1,1
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2011,43.318,45.6982,1,2
Russia (Soviet Union),Europe,2009,42.0626,48.2548,1,3
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,2
Russia (Soviet Union),Europe,2009,42.9849,47.5046,1,1
Russia (Soviet Union),Europe,2009,43.2917,45.8724,1,1
Russia (Soviet Union),Europe,2012,55.7558,37.6173,3,1
Russia (Soviet Union),Europe,2009,43.1627,45.201,1,1
Georgia,Europe,1992,43.0,41.5,1,2
Moldova,Europe,1992,46.718433,29.620095,1,1
Moldova,Europe,1992,47.266667,29.166667,1,4
Moldova,Europe,1992,47.266667,29.166667,1,1
Moldova,Europe,1992,46.833333,29.483333,1,3
Moldova,Europe,1992,47.0,29.5,1,6
Moldova,Europe,1992,47.172603,29.202846,1,1
Moldova,Europe,1992,47.172603,29.202846,1,1
Moldova,Europe,1992,47.14583,29.132373,1,1
Moldova,Europe,1992,47.266667,29.166667,1,6
Moldova,Europe,1992,47.0,29.5,1,3
Moldova,Europe,1992,47.0,29.5,1,15
Moldova,Europe,1992,47.0,29.5,1,1
Moldova,Europe,1992,46.833333,29.483333,1,13
Moldova,Europe,1992,46.833333,29.483333,1,1
Moldova,Europe,1992,47.266667,29.166667,1,3
Moldova,Europe,1992,47.15,29.3,1,0
Moldova,Europe,1992,47.0,29.5,1,10
Moldova,Europe,1992,47.0,29.5,1,6
Moldova,Europe,1992,46.833333,29.483333,1,0
Moldova,Europe,1992,47.266667,29.166667,1,18
Moldova,Europe,1992,47.404694,29.105554,1,8
Moldova,Europe,1992,47.0,29.5,1,1
Moldova,Europe,1992,47.0,29.5,1,2
Moldova,Europe,1992,47.0,29.5,1,2
Moldova,Europe,1992,46.833333,29.483333,1,3
Moldova,Europe,1992,46.85,29.633333,1,0
Moldova,Europe,1992,47.0,29.5,1,3
Moldova,Europe,1992,47.0,29.5,1,2
Moldova,Europe,1992,46.833333,29.483333,1,7
Moldova,Europe,1992,46.833333,29.483333,1,2
Moldova,Europe,1992,47.266667,29.166667,1,1
Moldova,Europe,1992,46.833333,29.483333,1,3
Moldova,Europe,1992,47.0,29.5,1,3
Moldova,Europe,1992,47.0,29.5,1,3
Moldova,Europe,1992,46.833333,29.483333,1,3
Moldova,Europe,1992,46.833333,29.483333,1,3
Moldova,Europe,1992,47.278006,29.123685,1,1
Moldova,Europe,1992,46.833333,29.483333,1,2
Moldova,Europe,1992,47.266667,29.166667,1,1
Moldova,Europe,1992,47.345446,29.095044,1,2
Moldova,Europe,1992,47.14583,29.132373,1,2
Moldova,Europe,1992,46.833333,29.483333,1,2
Moldova,Europe,1992,46.833333,29.483333,1,6
Moldova,Europe,1992,47.305286,29.111533,1,0
Moldova,Europe,1992,47.266667,29.166667,1,1
